UserID,PointOfInterest
ranjan@gmail.com,Federation Square
ranjan@gmail.com,Melbourne Cricket Ground (MCG)
ranjan@gmail.com,798 Art District
ranjan@gmail.com,Ming Tombs
ranjan@gmail.com,Pazhamudhir Solai
ranjan@gmail.com,Thirupparankundram Murugan Temple
ranjan@gmail.com,Shrine of Remembrance
ranjan@gmail.com,Eureka Skydeck 88
finaltest@gmail.com,Eiffel Tower
finaltest@gmail.com,Louvre Museum
adv@gmail.com,Pazhamudhir Solai
adv@gmail.com,Thiruparankundram Murugan Temple
adv@gmail.com,Alagar Koil
sanjay@gmail.com,Sentosa Island
sanjay@gmail.com,Chinatown
pretest@gmail.com,Marina Beach
pretest@gmail.com,Government Museum Chennai
finaltestfinal@gmail.com,Thirumalai Nayakkar Mahal
finaltestfinal@gmail.com,Koodal Azhagar Temple
